Review ID,Source,Review Text,Lawrence's Manual Label,TextBlob Label,AFINN Label,Vader,ChatGPT,Claude,,TextBlob Polarity,TextBlob Subjectivity,AFINN Score,VADER Neg,VADER Neu,VADER Pos,VADER Compound
11,Amazon,"Definitely notice an improvement in the taste of our tap water. It used to taste a bit chlorine-y, but now it's much cleaner. Happy customer!",Positive,Positive,Positive,Positive,Positive,Positive,,0.40,0.57,7,0,0.651,0.349,0.8818
12,Amazon,"The app is constantly logging me out. It makes the smart features inconvenient to use, which is really frustrating considering that's a key reason I bought this filter.",Negative,Negative,Negative,Negative,Neutral,Negative,,-0.16,0.78,-3,0.168,0.751,0.081,-0.4391
13,Amazon,"Super easy to install, literally took me less than 5 minutes. The water tastes great, and the filter life indicator is a nice touch.",Positive,Positive,Positive,Positive,Positive,Positive,,0.40,0.66,10,0,0.593,0.407,0.9287
14,Amazon,"It's an ok filter for the price. I've had filters that made the water taste better, but this one is affordable and seems to do the job.",Neutral,Positive,Positive,Positive,Neutral,Neutral,,0.50,0.50,4,0,0.876,0.124,0.3716
15,Amazon,"Feels very well-made and sturdy. I'm hoping it lasts a long time. The water tastes good, and I like the design.",Positive,Positive,Positive,Positive,Positive,Positive,,0.28,0.43,7,0,0.687,0.313,0.802
16,Amazon,"The replacement filters are pretty expensive, which is something to consider in the long run. The water quality is decent though.",Positive,Neutral,Positive,Positive,Neutral,Neutral,,-0.03,0.69,3,0,0.862,0.138,0.4939
17,Amazon,Very happy with the purchase and would recommend it to others.,Positive,Positive,Positive,Positive,Positive,Positive,,1.00,1.00,5,0,0.581,0.419,0.7574
18,Amazon,I love how sleek and modern this filter looks in my kitchen. It doesn't take up too much space either. And the water tastes great!,Positive,Positive,Positive,Positive,Positive,Positive,,0.48,0.46,6,0,0.728,0.272,0.8622
19,Amazon,"The water flow is a bit slow for my liking. Takes a while to fill up my water bottle in the morning. Not a huge deal, but slightly inconvenient.",Neutral,Negative,Positive,Negative,Neutral,Neutral,,-0.37,0.77,1,0.129,0.813,0.058,-0.3163
20,Amazon,"Honestly, the best water filter I've ever purchased. The water tastes incredible, and the smart features are actually really useful. I especially like the water consumption tracking.",Positive,Positive,Positive,Positive,Positive,Positive,,0.50,0.62,8,0,0.577,0.423,0.9446
21,Amazon,Had some issues connecting to my Wi-Fi network. The instructions could have been much clearer. Eventually got it working after a few tries.,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,-0.03,0.23,0,0,1,0,0
22,Amazon,"Great value for the money. Easy to install, water tastes good, and the app is functional. Can't ask for much more.",Positive,Positive,Positive,Positive,Positive,Positive,,0.61,0.67,7,0,0.58,0.42,0.9062
23,Amazon,"My filter makes a weird humming sound sometimes. It's not super loud, but it's noticeable and a little concerning.",Negative,Neutral,Positive,Negative,Neutral,Neutral,,-0.07,0.67,3,0.168,0.832,0,-0.3449
24,Amazon,Very happy with this filter! The water tastes so pure and clean. I feel much better about drinking tap water now.,Positive,Positive,Positive,Positive,Positive,Positive,,0.52,0.68,8,0,0.639,0.361,0.8793
25,Amazon,The app provides helpful reminders about filter replacement. A great feature!,Positive,Positive,Positive,Positive,Positive,Positive,,1.00,0.75,5,0,0.556,0.444,0.8016
26,Website,"The water taste isn't as good as I was expecting for the price. It's not terrible, but I've definitely had better. Order was more than a week late though.",Negative,Positive,Positive,Positive,Negative,Negative,,0.32,0.62,2,0.047,0.697,0.256,0.8163
27,Website,"Tried contacting customer support through the app with a question, and they took forever to respond and weren't very helpful when they finally did.",Negative,Neutral,Positive,Neutral,Neutral,Negative,,0.10,0.65,4,0.094,0.807,0.099,0.039
28,Website,Easy to install. Great addition to the kitchen.,Positive,Positive,Positive,Positive,Positive,Positive,,0.62,0.79,4,0,0.462,0.538,0.7906
29,Website,"The filter itself seems to be working okay, but the box it arrived in was pretty beat up. Luckily, the filter wasn't damaged.",Neutral,Positive,Positive,Positive,Neutral,Neutral,,0.36,0.78,1,0,0.588,0.412,0.9233
30,Website,I really like that this company is focused on being eco-friendly. It was a big factor in my decision to purchase this filter. And the water tastes great too!,Positive,Positive,Positive,Positive,Positive,Positive,,0.40,0.35,10,0,0.727,0.273,0.8685
31,Website,"The water has a slight metallic taste since I installed it. Hoping it goes away after a few more uses. Not very pleasant right now. Also, the order was super late.",Negative,Neutral,Positive,Positive,Neutral,Negative,,0.02,0.47,8,0.078,0.744,0.178,0.5833
32,Website,Great filter for the price. ,Positive,Positive,Positive,Positive,Positive,Positive,,0.80,0.75,3,0,0.494,0.506,0.6249
33,Website,"The smart features are a bit of a gimmick, in my opinion. I don't really need an app to tell me when to change the filter. But the water quality seems good.",Positive,Positive,Positive,Positive,Positive,Neutral,,0.37,0.48,6,0,0.84,0.16,0.6908
34,Website,Love having filtered water on tap whenever I need it. So much more convenient than buying bottled water all the time.,Positive,Positive,Positive,Positive,Positive,Positive,,0.50,0.55,3,0,0.826,0.174,0.6369
35,Website,The product arrived very late and customer service wasnt helpful. The priduct iteself is very good!,Positive,Positive,Positive,Positive,Positive,Neutral,,0.31,0.78,5,0.118,0.706,0.176,0.2853
36,Website,Very satisfied with the performance of this water filter. It does exactly what it's supposed to do and the water tastes great.,Positive,Positive,Positive,Positive,Positive,Positive,,0.57,0.67,5,0,0.735,0.265,0.8016
37,Website,The sleek design looks great on my countertop. It's not too bulky and blends in well with my other appliances.,Positive,Positive,Positive,Positive,Positive,Positive,,0.34,0.56,3,0,0.744,0.256,0.7351
38,Website,"It's an average filter. Nothing particularly stands out, but it's not bad either. Just a basic water filter with some smart features.",Neutral,Positive,Negative,Positive,Negative,Neutral,,0.12,0.43,-2,0,0.732,0.268,0.8087
39,Website,"Had a little trouble with the initial setup, instruction manual wasn't super helpful. But I found a helpful video online that walked me through it. Working fine now.",Neutral,Neutral,Positive,Positive,Neutral,Neutral,,0.07,0.37,7,0.158,0.67,0.172,0.3522
40,Website,"If you're looking for a reliable water filter that provides clean and great-tasting water, I highly recommend this one!",Positive,Positive,Positive,Positive,Positive,Positive,,0.28,0.62,9,0,0.746,0.254,0.6989
41,Website,"The cost of replacement filters is a little high, which is something to keep in mind for the future.",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,-0.01,0.39,0,0,1,0,0
42,Website,I actually find the smart app to be quite useful for monitoring my water usage and the filter status. It's better than I expected.,Positive,Positive,Positive,Positive,Neutral,Positive,,0.18,0.33,5,0,0.705,0.295,0.8313
43,Website,This filter is way bigger than I thought it would be and doesn't really fit well on my counter. Wish I had paid closer attention to the dimensions.,Negative,Positive,Positive,Negative,Neutral,Neutral,,0.20,0.45,2,0.136,0.78,0.084,-0.1647
44,Website,"Seems like a decent product. I've only had it for a week, so I'll have to see how it holds up over time.",Neutral,Neutral,Positive,Positive,Neutral,Neutral,,0.08,0.83,2,0,0.898,0.102,0.3612
45,Website,The water tastes so much better than our old filter! A very noticeable improvement. Definitely worth the investment.,Positive,Positive,Positive,Positive,Neutral,Positive,,0.28,0.28,8,0,0.547,0.453,0.8913
46,Website,No problems with installation or setup at all. It was very straightforward and easy to get going.,Positive,Positive,Negative,Positive,Neutral,Positive,,0.46,0.66,-2,0,0.735,0.265,0.6621
47,Website,"My order arrived with a damaged box, and the filter itself looks like it might be cracked. Waiting to hear back from the seller about a replacement. Very frustrating experience.",Negative,Negative,Negative,Negative,Neutral,Negative,,-0.26,0.50,-3,0.171,0.759,0.07,-0.5563
48,Website,"For the price, it's a pretty good water filter. Does the job adequately. The expected delivery date is misleading, order came much late.",Positive,Positive,Positive,Positive,Positive,Positive,,0.18,0.59,1,0.094,0.694,0.212,0.5267
49,Website,Arrived with a crack in the housing and leaked as soon as I hooked it up. Had to go through the hassle of returning it. Very disappointed in the quality control.,Negative,Negative,Negative,Negative,Neutral,Negative,,-0.98,0.98,-1,0.164,0.836,0,-0.6901
50,Website,"The water flow is noticeably slower compared to my old filter. It's a bit inconvenient. Also, the box was damaged when it arrived.",Negative,Negative,Negative,Negative,Neutral,Negative,,-0.25,0.60,-5,0.202,0.798,0,-0.6486
